isin,requested_exchCode,figi,name,ticker,exchCode,compositeFIGI,shareClassFIGI,securityType,securityType2,marketSector,securityDescription,warning,yahoo_ticker
INE752E01010,IN,BBG000CZ35Q5,POWER GRID CORP OF INDIA LTD,PWGR,IN,BBG000CZ35Q5,BBG001SFV384,Common Stock,Common Stock,Equity,PWGR,,PWGR.NS
INE665L01035,IN,BBG000Q73FY1,VARROC ENGINEERING LTD,VARROC,IN,BBG000Q73FY1,BBG001SRVM22,Common Stock,Common Stock,Equity,VARROC,,VARROC.NS
INE263A01024,IN,BBG000CP4T57,BHARAT ELECTRONICS LTD,BHE,IN,BBG000CP4T57,BBG001S82Y48,Common Stock,Common Stock,Equity,BHE,,BHE.NS
INE067A01029,IN,BBG000CQ8XK5,CG POWER AND INDUSTRIAL SOLU,CGPOWER,IN,BBG000CQ8XK5,BBG001S834B5,Common Stock,Common Stock,Equity,CGPOWER,,CGPOWER.NS
INE027H01010,IN,BBG000DQX7B3,MAX HEALTHCARE INSTITUTE LTD,MAXHEALT,IN,BBG000DQX7B3,BBG001SN4H77,Common Stock,Common Stock,Equity,MAXHEALT,,MAXHEALT.NS
INE640A01023,IN,BBG000CYZ2Z0,SKF INDIA LTD,SKF,IN,BBG000CYZ2Z0,BBG001S84KB8,Common Stock,Common Stock,Equity,SKF,,SKF.NS
INE101A01026,IN,BBG000BKW6G6,MAHINDRA & MAHINDRA LTD,MM,IN,BBG000BKW6G6,BBG001S84086,Common Stock,Common Stock,Equity,MM,,MM.NS
INE074A01025,IN,BBG000D69XB7,PRAJ INDUSTRIES LTD,PRJ,IN,BBG000D69XB7,BBG001S85TB8,Common Stock,Common Stock,Equity,PRJ,,PRJ.NS
INE213A01029,IN,BBG000BF0B62,OIL & NATURAL GAS CORP LTD,ONGC,IN,BBG000BF0B62,BBG001S5Z8B7,Common Stock,Common Stock,Equity,ONGC,,ONGC.NS
INE917I01010,IN,BBG000CKDY02,BAJAJ AUTO LTD,BJAUT,IN,BBG000CKDY02,BBG001SM0KC0,Common Stock,Common Stock,Equity,BJAUT,,BJAUT.NS
INE342J01019,IN,BBG000VF9L14,ZF COMMERCIAL VEHICLE CONTRO,ZCVCS,IN,BBG000VF9L14,BBG001T28J38,Common Stock,Common Stock,Equity,ZCVCS,,ZCVCS.NS
INE075A01022,IN,BBG000D27XV6,WIPRO LTD,WPRO,IN,BBG000D27XV6,BBG001S854M1,Common Stock,Common Stock,Equity,WPRO,,WPRO.NS
INE585B01010,IN,BBG000HFDLR7,MARUTI SUZUKI INDIA LTD,MSIL,IN,BBG000HFDLR7,BBG001S983D8,Common Stock,Common Stock,Equity,MSIL,,MSIL.NS
INE246B01019,IN,BBG000D3WJC8,RAMCO SYSTEMS LTD,RMCS,IN,BBG000D3WJC8,BBG001SG5JS4,Common Stock,Common Stock,Equity,RMCS,,RMCS.NS
INE508G01029,IN,BBG000QN5SL0,TIME TECHNOPLAST LTD,TIME,IN,BBG000QN5SL0,BBG001SSDFF1,Common Stock,Common Stock,Equity,TIME,,TIME.NS
INE758T01015,IN,BBG003DKJ5C9,ETERNAL LTD,ETERNAL,IN,BBG003DKJ5C9,BBG003DKJ5D8,Common Stock,Common Stock,Equity,ETERNAL,,ETERNAL.NS
INE549A01026,IN,BBG000CSL5G2,HINDUSTAN CONSTRUCTION CO,HCC,IN,BBG000CSL5G2,BBG001S83K10,Common Stock,Common Stock,Equity,HCC,,HCC.NS
INE059B01024,IN,BBG000CZWZH7,SIMPLEX INFRASTRUCTURES LTD,SINF,IN,BBG000CZWZH7,BBG001S84Q61,Common Stock,Common Stock,Equity,SINF,,SINF.NS
INE256A04022,IN,,,,,,,,,,,No identifier found.,
INE486A01021,IN,BBG000BKW925,CESC LTD,CESC,IN,BBG000BKW925,BBG001S859K2,Common Stock,Common Stock,Equity,CESC,,CESC.NS
INE256A01028,IN,BBG000D2BTP7,ZEE ENTERTAINMENT ENTERPRISE,Z,IN,BBG000D2BTP7,BBG001S85557,Common Stock,Common Stock,Equity,Z,,Z.NS
INE397D20024,IN,,,,,,,,,,,No identifier found.,
IN9397D01014,IN,BBG012C4FSV0,BHARTI AIRTEL - PARTLY PAID,BHARTIPP,IN,BBG012C4FSV0,BBG012C4FSX8,Common Stock,Common Stock,Equity,BHARTIPP,,BHARTIPP.NS
INE848E01016,IN,BBG000RJV9M0,NHPC LTD,NHPC,IN,BBG000RJV9M0,BBG001ST2QX7,Common Stock,Common Stock,Equity,NHPC,,NHPC.NS
INE646L01027,IN,BBG000H3G1B2,INTERGLOBE AVIATION LTD,INDIGO,IN,BBG000H3G1B2,BBG001SP3BL0,Common Stock,Common Stock,Equity,INDIGO,,INDIGO.NS
INE467B01029,IN,BBG000Q0WCK6,TATA CONSULTANCY SVCS LTD,TCS,IN,BBG000Q0WCK6,BBG001SM1D62,Common Stock,Common Stock,Equity,TCS,,TCS.NS
INE685A01028,IN,BBG000D80W33,TORRENT PHARMACEUTICALS LTD,TRP,IN,BBG000D80W33,BBG001S862M4,Common Stock,Common Stock,Equity,TRP,,TRP.NS
INE111A01025,IN,BBG000DC6HC1,CONTAINER CORP OF INDIA LTD,CCRI,IN,BBG000DC6HC1,BBG001S86VR5,Common Stock,Common Stock,Equity,CCRI,,CCRI.NS
INE001A01036,IN,,,,,,,,,,,No identifier found.,
INE481G01011,IN,BBG000PZ2JC7,ULTRATECH CEMENT LTD,UTCEM,IN,BBG000PZ2JC7,BBG001SLZ127,Common Stock,Common Stock,Equity,UTCEM,,UTCEM.NS
INE208A01029,IN,BBG000CNJKK8,ASHOK LEYLAND LTD,AL,IN,BBG000CNJKK8,BBG001S82TN8,Common Stock,Common Stock,Equity,AL,,AL.NS
INE0J1Y01017,IN,BBG000C49F22,LIFE INSURANCE CORPORATION,LICI,IN,BBG000C49F22,BBG001SFZQT6,Common Stock,Common Stock,Equity,LICI,,LICI.NS
